step,chunk_id,chunk_index,chunk_boundary,deadline_offset_ns,emit_offset_ns,fallback,observation_age_ns,safety_flags,safety_rejected,action_0,action_1,action_2,action_3,action_4,action_5,action_6
0,0,-1,0,0,72580,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,100000000,100072379,0,201139681,1,0,0.376346,0.30073,0.0529877,-0.0200282,9.63607e-05,0.00407831,-1
2,1,2,0,200000000,200074707,0,301142019,1,0,0.604288,0.384727,0.111456,-0.0443618,-0.00706673,0.000681247,-1
3,1,3,0,300000000,300074275,0,401141697,1,0,0.743863,0.388219,0.0915603,-0.0458388,-0.00652996,0.00138592,-1
4,2,2,1,400000000,400079825,0,355972629,1,0,0.722773,0.406829,0.0556315,-0.0245983,-0.0159388,0.00478682,-1
5,2,3,0,500000000,500073813,0,455966417,1,0,0.79568,0.395504,0.0636482,-0.0468101,-0.0104419,-0.000732623,-1
6,2,4,0,600000000,600089311,0,555982046,0,0,0.81007,0.384677,0.0209145,-0.0132229,-0.0181678,0.00387461,-0.973463
7,3,2,1,700000000,700062140,0,357668094,1,0,0.87237,0.437742,-0.0361242,-0.0146048,-0.018072,0.00796617,-1
8,3,3,0,800000000,800095508,0,457701053,1,0,0.918693,0.393435,-0.0551555,-0.0285617,-0.0172498,0.00392776,-1
9,3,4,0,900000000,900071836,0,557677591,0,0,0.922968,0.378235,-0.123954,-0.00327146,-0.0258546,0.00817378,-0.971525
10,4,2,1,1000000000,1000071165,0,357625943,0,0,0.925681,0.3637,-0.236473,-0.00765858,-0.0206957,0.00338846,-0.995364
11,4,3,0,1100000000,1100070054,0,457625032,1,0,0.955287,0.324848,-0.303304,-0.0123627,-0.0212679,-2.33306e-05,-1
12,4,4,0,1200000000,1200098303,0,557653231,0,0,0.902279,0.284952,-0.484018,0.012707,-0.0423592,0.00189491,-0.93151
13,5,2,1,1300000000,1300100601,0,356255065,0,0,0.813317,0.226215,-0.659104,0.0096029,-0.0376781,-0.0024546,-0.962534
14,5,3,0,1400000000,1400096059,0,456250403,0,0,0.689648,0.166325,-0.802156,0.00990263,-0.0463097,-0.00213646,-0.995386
15,5,4,0,1500000000,1500073277,0,556227481,0,0,0.362204,0.10239,-0.911867,0.0515261,-0.0763052,0.014189,-0.952151
16,6,2,1,1600000000,1600078026,0,356969830,0,0,0.214056,0.0929815,-0.963763,0.0435151,-0.0642159,0.00349033,-0.957579
17,6,3,0,1700000000,1700075434,0,456967338,0,0,0.0552185,0.082454,-0.999045,0.0157451,-0.0717689,0.00673845,-0.9763
18,6,4,0,1800000000,1800097573,0,556989017,1,0,-0.20723,0.0364515,-1,0.0439242,-0.0891801,0.026869,-0.99332
19,7,2,1,1900000000,1900097432,0,356994940,1,0,-0.354712,0.0534193,-1,0.0308634,-0.0807144,0.0143041,-0.970953
20,7,3,0,2000000000,2000070380,0,456967998,1,0,-0.556358,0.0604369,-1,0.0120905,-0.083452,0.0211503,-0.968439
21,7,4,0,2100000000,2100097099,0,556994717,1,0,-0.736257,0.0246917,-1,0.0298626,-0.0981159,0.039055,-0.983288
22,8,2,1,2200000000,2200097577,0,357677974,0,0,-0.738981,-0.0117556,-0.999721,0.0224669,-0.0903268,0.032089,-0.990503
